"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
"Player 0: x=10.65, y=0, z=8.6, a=0.00 Player 1: x=8.38, y=0, z=7, a=180.00 Order:#1: Sushi_Fish #2: Sushi_Fish "
